Bieke Kindt,/en/vnl/women/teams/bel-belgium/players/bieke-kindt?id=71424,11/02/2000,19,191,74,302,284
Elise Van Sas,/en/vnl/women/teams/bel-belgium/players/elise-van-sas?id=71427,01/08/1997,22,188,74,296,281
Britt Herbots,/en/vnl/women/teams/bel-belgium/players/britt-herbots?id=71423,24/09/1999,20,182,63,310,290
Nathalie Lemmens,/en/vnl/women/teams/bel-belgium/players/nathalie-lemmens?id=71425,12/03/1995,24,192,85,311,288
Laura Heyrman,/en/vnl/women/teams/bel-belgium/players/laura-heyrman?id=71447,17/05/1993,26,186,74,310,280
Laure Flament,/en/vnl/women/teams/bel-belgium/players/laure-flament?id=71429,18/06/1998,21,182,76,295,282
Celine Van Gestel,/en/vnl/women/teams/bel-belgium/players/celine-van-gestel?id=71431,07/11/1997,22,183,70,310,280
Kaja Grobelna,/en/vnl/women/teams/bel-belgium/players/kaja-grobelna?id=71430,04/01/1995,24,188,72,318,299
Freya Aelbrecht,/en/vnl/women/teams/bel-belgium/players/freya-aelbrecht?id=71428,10/02/1990,29,186,82,308,282
Dominika Sobolska,/en/vnl/women/teams/bel-belgium/players/dominika-sobolska?id=71450,03/12/1991,28,187,83,309,292
Iris Vandewiele,/en/vnl/women/teams/bel-belgium/players/iris-vandewiele?id=71452,07/03/1994,25,189,71,295,286
Dominika Strumilo,/en/vnl/women/teams/bel-belgium/players/dominika-strumilo?id=71436,26/12/1996,23,187,63,311,292
Marlies Janssens,/en/vnl/women/teams/bel-belgium/players/marlies-janssens?id=71434,04/06/1997,22,193,79,312,299
Jutta Van De Vyver,/en/vnl/women/teams/bel-belgium/players/jutta-van-de-vyver?id=71438,11/06/1996,23,175,72,290,270
Karolina Goliat,/en/vnl/women/teams/bel-belgium/players/karolina-goliat?id=71439,25/10/1996,23,189,79,308,295
Ilka Van De Vyver,/en/vnl/women/teams/bel-belgium/players/ilka-van-de-vyver?id=71437,26/01/1993,26,170,79,296,273
Oriane Moulin,/en/vnl/women/teams/bel-belgium/players/oriane-moulin?id=71426,18/02/2000,19,181,63,303,287
Silke Van Avermaet,/en/vnl/women/teams/bel-belgium/players/silke-van-avermaet?id=71444,02/06/1999,20,192,76,311,290
Jodie Guilliams,/en/vnl/women/teams/bel-belgium/players/jodie-guilliams?id=71440,26/04/1997,22,180,73,305,289
Manon Stragier,/en/vnl/women/teams/bel-belgium/players/manon-stragier?id=71442,12/03/1999,20,182,69,308,283
Anna Valkenborg,/en/vnl/women/teams/bel-belgium/players/anna-valkenborg?id=71443,04/01/1998,21,174,59,290,270
Felice Vanassche,/en/vnl/women/teams/bel-belgium/players/felice-vanassche?id=71432,20/07/2000,19,185,71,300,285
Britt Rampelberg,/en/vnl/women/teams/bel-belgium/players/britt-rampelberg?id=71441,05/06/2000,19,165,58,283,269
Charlotte Krenicky,/en/vnl/women/teams/bel-belgium/players/charlotte-krenicky?id=71448,29/06/2000,19,189,80,312,282
Britt Ruysschaert,/en/vnl/women/teams/bel-belgium/players/britt-ruysschaert?id=71449,27/05/1994,25,180,60,302,281
Mara Ferreira Leao,/en/vnl/women/teams/bra-brazil/players/mara-ferreira-leao?id=71722,26/07/1991,28,190,84,320,301
Macris Carneiro,/en/vnl/women/teams/bra-brazil/players/macris-carneiro?id=71716,03/03/1989,30,178,64,292,275
Lara Nobre Cardoso G Filomeno,/en/vnl/women/teams/bra-brazil/players/lara-nobre-cardoso-g-filomeno?id=72483,11/02/1989,30,185,69,306,290
Ana Paula Borgo Bedani Guedes,/en/vnl/women/teams/bra-brazil/players/ana-paula-borgo-bedani-guedes?id=71712,20/10/1993,26,187,76,305,290
Julia Isabelle Bergmann,/en/vnl/women/teams/bra-brazil/players/julia-isabelle-bergmann?id=71711,21/02/2001,18,196,78,301,289
Juma Silva,/en/vnl/women/teams/bra-brazil/players/juma-silva?id=71733,17/01/1993,26,181,68,295,280
Roberta Silva Ratzke,/en/vnl/women/teams/bra-brazil/players/roberta-silva-ratzke?id=71732,28/04/1990,29,185,71,287,278
Gabriela Braga Guimaraes,/en/vnl/women/teams/bra-brazil/players/gabriela-braga-guimaraes?id=71713,19/05/1994,25,180,65,305,289
Tainara Lemes Santos,/en/vnl/women/teams/bra-brazil/players/tainara-lemes-santos?id=71728,09/03/2000,19,190,81,306,289
Natalia Pereira,/en/vnl/women/teams/bra-brazil/players/natalia-pereira?id=71741,04/04/1989,30,186,83,311,295
Amanda Francisco,/en/vnl/women/teams/bra-brazil/players/amanda-francisco?id=71723,16/08/1988,31,180,62,304,286
Josefa Fabiola Almeida De Sousa Alves,/en/vnl/women/teams/bra-brazil/players/josefa-fabiola-almeida-de-sousa-alves?id=71502,03/02/1983,36,184,70,300,285
Ana Carolina Da Silva,/en/vnl/women/teams/bra-brazil/players/ana-carolina-da-silva?id=71719,08/04/1991,28,183,73,290,290
Tandara Caixeta,/en/vnl/women/teams/bra-brazil/players/tandara-caixeta?id=71715,30/10/1988,31,184,87,305,297
Suelen Pinto,/en/vnl/women/teams/bra-brazil/players/suelen-pinto?id=71731,04/10/1987,32,166,81,256,238
Leia Henrique Da Silva Nicolosi,/en/vnl/women/teams/bra-brazil/players/leia-henrique-da-silva-nicolosi?id=71724,01/03/1985,34,160,60,275,269
Ana Beatriz Correa,/en/vnl/women/teams/bra-brazil/players/ana-beatriz-correa?id=71718,07/02/1992,27,187,70,298,292
Maira Cipriano Claro,/en/vnl/women/teams/bra-brazil/players/maira-cipriano-claro?id=71717,07/03/1995,24,187,62,300,278
Lana Conceição,/en/vnl/women/teams/bra-brazil/players/lana-concei%c3%a7%c3%a3o?id=71738,08/12/1996,23,178,74,305,288
Edinara Brancher,/en/vnl/women/teams/bra-brazil/players/edinara-brancher?id=71714,01/02/1996,23,186,80,295,285
Lorenne Geraldo Teixeira,/en/vnl/women/teams/bra-brazil/players/lorenne-geraldo-teixeira?id=71727,08/01/1996,23,187,72,306,289
Milka Marcília Medeiros Silva,/en/vnl/women/teams/bra-brazil/players/milka-marc%c3%adlia-medeiros-silva?id=71734,18/07/1994,25,190,75,307,291
Natália Araujo,/en/vnl/women/teams/bra-brazil/players/nat%c3%a1lia-araujo?id=71709,10/04/1997,22,162,59,228,215
Lais Vasques,/en/vnl/women/teams/bra-brazil/players/lais-vasques?id=71736,12/02/1996,23,171,70,275,274
Mayany Cristina Araujo De Souza,/en/vnl/women/teams/bra-brazil/players/mayany-cristina-araujo-de-souza?id=71710,24/11/1996,23,185,72,293,282
Gergana Dimitrova,/en/vnl/women/teams/bul-bulgaria/players/gergana-dimitrova?id=70844,28/02/1996,23,184,71,305,288
Nasya Dimitrova,/en/vnl/women/teams/bul-bulgaria/players/nasya-dimitrova?id=70845,06/11/1992,27,190,70,305,290
Kristiana Petrova,/en/vnl/women/teams/bul-bulgaria/players/kristiana-petrova?id=70854,13/07/1997,22,177,70,290,282
Maria Dancheva,/en/vnl/women/teams/bul-bulgaria/players/maria-dancheva?id=70842,04/12/1995,24,195,73,314,302
Simona Dimitrova,/en/vnl/women/teams/bul-bulgaria/players/simona-dimitrova?id=70846,17/07/1994,25,185,82,290,280
Miroslava Paskova,/en/vnl/women/teams/bul-bulgaria/players/miroslava-paskova?id=70853,16/02/1996,23,180,67,299,280
Lora Kitipova,/en/vnl/women/teams/bul-bulgaria/players/lora-kitipova?id=70849,19/05/1991,28,184,66,290,283
Petya Barakova,/en/vnl/women/teams/bul-bulgaria/players/petya-barakova?id=70839,18/06/1994,25,180,76,283,271
Monika Krasteva,/en/vnl/women/teams/bul-bulgaria/players/monika-krasteva?id=71161,09/05/1999,20,183,64,292,285
Mira Todorova,/en/vnl/women/teams/bul-bulgaria/players/mira-todorova?id=70857,12/04/1994,25,187,73,312,300
Gergana Georgieva,/en/vnl/women/teams/bul-bulgaria/players/gergana-georgieva?id=70847,15/10/1998,21,176,61,289,272
Mariya Karakasheva,/en/vnl/women/teams/bul-bulgaria/players/mariya-karakasheva?id=70848,27/10/1988,31,182,68,295,290
Mirela Shahpazova,/en/vnl/women/teams/bul-bulgaria/players/mirela-shahpazova?id=70856,28/10/1997,22,175,65,280,270
Aleksandra Milanova,/en/vnl/women/teams/bul-bulgaria/players/aleksandra-milanova?id=70852,04/07/2001,18,180,72,295,284
Zhana Todorova,/en/vnl/women/teams/bul-bulgaria/players/zhana-todorova?id=70858,06/01/1997,22,170,56,271,255
Elitsa Vasileva,/en/vnl/women/teams/bul-bulgaria/players/elitsa-vasileva?id=70859,13/05/1990,29,190,73,302,290
Elena Becheva,/en/vnl/women/teams/bul-bulgaria/players/elena-becheva?id=70840,30/05/1998,21,185,70,296,288
Silvana Chausheva,/en/vnl/women/teams/bul-bulgaria/players/silvana-chausheva?id=70841,19/05/1995,24,188,75,305,290
Radostina Marinova,/en/vnl/women/teams/bul-bulgaria/players/radostina-marinova?id=70851,02/10/1998,21,186,65,299,288
Mariya Krivoshiyska,/en/vnl/women/teams/bul-bulgaria/players/mariya-krivoshiyska?id=70850,06/09/2001,18,186,58,293,285
Denitsa Dimitrova,/en/vnl/women/teams/bul-bulgaria/players/denitsa-dimitrova?id=70843,26/03/1999,20,189,70,299,280
Dima Usheva,/en/vnl/women/teams/bul-bulgaria/players/dima-usheva?id=70864,16/12/2000,19,192,73,300,280
Vangeliya Rachkovska,/en/vnl/women/teams/bul-bulgaria/players/vangeliya-rachkovska?id=70855,19/07/1997,22,185,67,296,281
Silvia Andreeva,/en/vnl/women/teams/bul-bulgaria/players/silvia-andreeva?id=70838,18/08/1995,24,182,63,292,284
Polina Neykova,/en/vnl/women/teams/bul-bulgaria/players/polina-neykova?id=71285,07/10/1998,21,182,73,287,280
